,Name,Description
110,Orange bitters,"Orange bitters is a form of bitters, a cocktail flavoring made from such ingredients as the peels of Seville oranges, cardamom, caraway seed, coriander, anise, and burnt sugar in an alcohol base. Orange bitters, which are not to be confused with the standard Angostura aromatic bitters, are currently enjoying a resurgence among cocktail enthusiasts. It is to be noted that the well-known House of Angostura is one of the producers of orange bitters.For many years, it was difficult to find orange bitters in the United States and elsewhere. Because of this, some cocktail recipes that traditionally contained orange bitters may now exclude that ingredient. 
Renowned mixologist Gary Regan created Regan's Orange Bitters (stylized and trademarked as Regans') in the 1990s. Regans' is bottled and sold by the Sazerac Company, whose chief executive officer, Mark Brown, had worked with Regan to create a modern version of these bitters. Since 2006, the Bitter Truth in Germany has produced all-natural orange bitters, and there are now a number of different brands on the market.Different orange bitters are sometimes mixed to hit the desired note. For example, a ""Feegan's"", often used in a Manhattan, consists of an equal-parts mix of Fee Bros West India Orange Bitters and Regans' Orange Bitters No. 6. This is done to balance out the candy-like sweetness of Fee's and the heavy cardamom note of Regans'.Orange bitters can also be made at home, allowing one to create new flavor profiles that are not available anywhere else. The process of making orange bitters takes several days.Drinks whose recipes can include orange bitters include the Old Fashioned, the dry martini, and the revolver.


== References =="
111,Osmundea pinnatifida,"Osmundea  pinnatifida is a species of red alga known by the common name pepper dulse.
It is a small seaweed widely found with the tidal zone of moderately sheltered rocky shores around Britain and Europe.  Although technically a red seaweed, it can show a wide range of colouring from yellow-buff to a red so dark as to be almost black."
112,Pandanus amaryllifolius,"Pandanus amaryllifolius is a tropical plant in the Pandanus (screwpine) genus, which is commonly known as pandan (). It has fragrant leaves which are used widely for flavouring in the cuisines of Southeast Asia and South Asia."
113,Parmotrema perlatum,"Parmotrema perlatum, commonly known as black stone flower, is a species of lichen used as a spice in India. The species occurs throughout the temperate Northern and Southern Hemispheres. Typically used in meat dishes like nihari (paaya), Bombay biryani, and goat meat stews, it is also used in vegetarian dishes. 
In its raw state, black stone flower does not have much taste or fragrance. However, when put in contact with heat, especially hot cooking oil or ghee, it releases a distinctive earthy, smoky flavour and aroma. This property of black stone flower is especially valued in the tempering step of cooking a number of Indian dishes.

Some of the other names for it include shaileyam in Sanskrit, kalpasi in Tamil, dagar da phool in Punjabi, dagad phool in Marathi, raathi Pootha (banda puvvu) in Telugu, kallu hoovu in Kannada and patthar ke phool in Hindi, bojhwar and chadila in North India."
114,Pectis papposa,"Pectis papposa is a species of flowering plant in the family Asteraceae. It is native to North America, where it occurs in the southwestern United States as far east as Texas, and in northern Mexico. Common names include cinchweed, common chinchweed, many-bristle chinchweed, and many-bristle fetid-marigold.This is a host plant of the beet leafhopper."
115,Penzeys Spices,"Penzeys Spices is a retailer of spices in the United States. It operates retail outlets as well as mail order and online shopping.  The company is headquartered in Wauwatosa, Wisconsin, and had 600,000 catalog customers in 2007."
116,Black pepper,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae, cultivated for its fruit, known as a peppercorn, which is usually dried and used as a spice and seasoning. The fruit is a drupe (stonefruit) which is about 5 mm (0.20 in) in diameter (fresh and fully mature), dark red, and contains a stone which encloses a single pepper seed. Peppercorns and the ground pepper derived from them may be described simply as pepper, or more precisely as black pepper (cooked and dried unripe fruit), green pepper (dried unripe fruit), or white pepper (ripe fruit seeds).Black pepper is native to the Malabar Coast of India, and the Malabar pepper is extensively cultivated there and in other tropical regions.
Ground, dried, and cooked peppercorns have been used since antiquity, both for flavour and as a traditional medicine. Black pepper is the world's most traded spice, and is one of the most common spices added to cuisines around the world. Its spiciness is due to the chemical compound piperine, which is a different kind of spicy from the capsaicin characteristic of chili peppers. It is ubiquitous in the Western world as a seasoning, and is often paired with salt and available on dining tables in shakers or mills."
117,Peri-peri,"Peri-peri ( PIRR-ee-PIRR-ee, often hyphenated or as one word, and with variant spellings piri-piri, piripiri or pili pili) is a cultivar of Capsicum frutescens  from the malagueta pepper. It was originally produced by Portuguese explorers in Portugal's former Southern African territories, particularly Mozambique and its border regions with South Africa, and then spread to other Portuguese domains."
118,Persicaria hydropiper,"Persicaria hydropiper (syn. Polygonum hydropiper), also known as water pepper, marshpepper knotweed, arse smart or tade, is a plant of the family Polygonaceae. A widespread species, Persicaria hydropiper is found in Australia, New Zealand, temperate Asia, Europe and North America. The plant grows in damp places and shallow water. Cultivated varieties are eaten in East Asia for their pungent flavor."
119,Phyllanthus emblica,"Phyllanthus emblica, also known as emblic, emblic myrobalan, myrobalan, Indian gooseberry, Malacca tree, or amla, from the Sanskrit आमलकी (āmalakī), is a deciduous tree of the family Phyllanthaceae. Its native range is tropical and southern Asia."
120,Pink peppercorn,"A pink peppercorn (French: baie rose, ""pink berry"") is a dried berry referring to three different species; the traditional Baies rose plant Euonymus phellomanus, the shrub Schinus molle, commonly known as the Peruvian peppertree, and the Schinus terebinthifolia (the Brazilian pepper).
The pink peppercorn from the Baies rose plant (Euonymus phellomanus), is usually imported from Madagascar. As a result, they are expensive. Pink peppercorns are pungent and slightly sweet, but not nearly as flavorful as the true pepper. These berries were once banned by the Food and Drug Administration as a foodstuff, but are now considered safe for consumption. This seed is not to be confused with the Brazilian pepper berry (pink berry).Although not related to commercial pepper (Piper nigrum) the pink/red berries of the Peruvian peppertree are sold as pink peppercorns and often blended with commercial pepper. Pink peppercorns came to be called such because they resemble peppercorns, and because they, too, have a peppery flavor.  As they are members of the cashew family, they may cause allergic reactions including anaphylaxis for people with a tree nut allergy.Dried berries from the related species Schinus terebinthifolia (the Brazilian pepper), are sometimes also called pink peppercorns (baies roses de Bourbon) and are used as a culinary spice. The Brazilian pepper was introduced as an ornamental plant to Florida by at latest 1891, probably earlier, where it has spread rapidly since about 1940, and eventually became invasive in the area where it is often referred to as ""Florida Holly"".
In 1982, the Food and Drug Administration (FDA) banned the import of Brazilian peppercorns from France into the United States, asserting that people who eat the berries risk an array of acute symptoms, such as swollen eyelids and indigestion, similar to poison ivy. In response, the Government of France maintained that the berries are safe to eat if grown in prescribed conditions. The United States later lifted the ban. The fruit and leaves of Peruvian pepper are potentially poisonous to poultry, pigs and possibly calves. Records also exist of young children who have experienced vomiting and diarrhea after eating the fruit. Presently both species of the Schinus pink peppercorn lack ""generally recognized as safe"" (GRAS) status with the FDA."
121,Piper borbonense,"Piper borbonense is a species of plant in the genus Piper.  A close relative of black pepper, its berries are used as a spice known as voatsiperifery, which comes from voa, the Malagasy word for fruit, and tsiperifery, the local name of the plant. A wild pepper, it grows in Madagascar.
It can reach up to 20 metres and needs a natural plant support."
122,Piper cubeba,"Piper cubeba, cubeb or tailed pepper is a plant in genus Piper, cultivated for its fruit and essential oil. It is mostly grown in Java and Sumatra, hence sometimes called Java pepper. The fruits are gathered before they are ripe, and carefully dried. Commercial cubeb consists of the dried berries, similar in appearance to black pepper, but with stalks attached – the ""tails"" in ""tailed pepper"".  The dried pericarp is wrinkled, and its color ranges from grayish brown to black. The seed is hard, white and oily. The odor of cubeb is described as agreeable and aromatic and the taste as pungent, acrid, slightly bitter and persistent.  It has been described as tasting like allspice, or like a cross between allspice and black pepper.Cubeb came to Europe via India through the trade with the Arabs. The name cubeb comes from Arabic kabāba (كبابة) by way of Old French quibibes. Cubeb is mentioned in alchemical writings by its Arabic name. In his Theatrum Botanicum, John Parkinson tells that the king of Portugal (Possibly either Philip IV of Spain or John IV of Portugal, as that year was marked by the start of the Portuguese Restoration War) prohibited the sale of cubeb to promote black pepper (Piper nigrum) around 1640. It experienced a brief resurgence in 19th-century Europe for medicinal uses, but has practically vanished from the European market since. It continues to be used as a flavoring agent for gins and cigarettes in the West, and as a seasoning for food in Indonesia."
123,Piper excelsum,"Piper excelsum (formerly known as Macropiper excelsum), of the Pepper Family (Piperaceae) commonly known as kawakawa, is a small tree to 20 feet (six meters)of which the subspecies P. excelsum subsp. excelsum is endemic to New Zealand; the subspecies P. e. subsp. psittacorum is found on Lord Howe Island, Norfolk Island and the Kermadec Islands."
124,Piper guineense,"Piper guineense is a West African species of Piper; the spice derived from its dried fruit is known as Ashanti pepper, Benin pepper, Edo pepper, false cubeb, Guinea cubeb, and called locally kale, kukauabe, masoro, etiñkeni, sasema, soro wisa, eyendo, eshasha'by the Urhobo people, oziza and uziza.  It is a close relative of cubeb pepper and a relative of black pepper and long pepper. Unlike cubeb, which is large and spherical in shape, Ashanti pepper grains are prolate spheroids, smaller and smoother than Cubeb pepper in appearance and generally bear a reddish tinge. The stalks of Ashanti pepper berries are also distinctly curved whilst those of cubeb pepper are completely straight. The terms West African pepper and Guinea pepper have also been used, but are ambiguous and may refer to grains of Selim or grains of paradise.
The plants that provide Ashanti pepper are vines that can grow up to 20 m in length, climbing up boles of trees by means of adventitious roots. These are native to topical regions of Central and Western Africa and are semi-cultivated in countries such as Nigeria where the leaves, known as uziza, are used as a flavouring for stews. Like other members of the pepper family, Ashanti pepper contains 5–8% of the chemical piperine which gives them their piquant taste.  They contain large amounts of beta-caryophyllene, which is being investigated as an anti-inflammatory agent. It also contains significant proportions (up to around 10%) of myristicin, elemicin, safrole, and dillapiol, as well as some apiole (around 1.4%).In terms of flavour, Ashanti pepper is very similar to cubeb pepper but is less bitter and has a fresher, more herbaceous flavour and aroma than cubeb's more pine-like scent.  Though known in Europe during the Middle Ages (it was a common spice in Rouen and Dieppe in 14th-century France), these days, its use is largely marginalized to West and Central Africa."
125,Pistacia lentiscus,"Pistacia lentiscus (also lentisk or mastic) is a dioecious evergreen shrub or small tree of the genus Pistacia native to the Mediterranean Basin. It grows up to 4 m (13 ft) tall and is cultivated for its aromatic resin, mainly on the Greek island of Chios and around the Turkish town of Çeşme."
126,Poppy seed,"Poppy seed is an oilseed obtained from the opium poppy (Papaver somniferum). The tiny, kidney-shaped seeds have been harvested from dried seed pods by various civilizations for thousands of years. It is still widely used in many countries, especially in Central Europe and South Asia, where it is legally grown and sold in shops. The seeds are used whole or ground into meal as an ingredient in many foods – especially in pastry and bread – and they are pressed to yield poppyseed oil."
127,Porophyllum ruderale,"Porophyllum ruderale is an herbaceous annual plant whose leaves can be used for seasoning food. The taste has been described as ""somewhere between arugula, cilantro and rue"". The plant is commonly grown in Mexico and South America for use in salsas. When fully grown, the plant measures about 150 cm (5 ft) in height and 90 cm (3 ft) in diameter.
The plant is easy to grow from seed in a well-drained soil, which should be allowed to dry between watering."
128,Rhus coriaria,"Rhus coriaria, commonly called Sicilian sumac, tanner's sumach, or  elm-leaved sumach, is a deciduous shrub to small tree in the cashew family Anacardiaceae. It is native to southern Europe and western Asia. The dried fruits are used as a spice, particularly in combination with other spices in the mixture called za'atar."
129,Ricinodendron,"Ricinodendron is a plant genus in the family Euphorbiaceae first described as a genus in 1864.  It includes only one known species, Ricinodendron heudelotii, native to tropical Africa from Senegal + Liberia east to Sudan and Tanzania and south to Mozambique and Angola. It produces an economically important oilseed. The tree is known as munguella (Angola), njangsa (Cameroon), bofeko (Zaire), wama (Ghana), okhuen (Nigeria), kishongo (Uganda), akpi (Ivory Coast), djansang, essang, ezezang  and njasang. Two varieties of the tree species are recognized R. heudelotii var. heudelotii in Ghana and R. heudelotii var. africanum in Nigeria and westwards."
130,Rosa × damascena,"Rosa × damascena (Latin for damascene rose), more commonly known as the Damask rose, or sometimes as Bulgarian rose, Turkish rose, Taif rose, Arab rose, Ispahan rose and Castile rose, is a rose hybrid, derived from Rosa gallica and Rosa moschata. DNA analysis has shown that a third species, Rosa fedtschenkoana, has made some genetic contributions to the Damask rose.The flowers are renowned for their fine fragrance, and are commercially harvested for rose oil (either ""rose otto"" or ""rose absolute"") used in perfumery and to make rose water and ""rose concrete"". The flower petals are also edible.  They may be used to flavor food, as a garnish, as an herbal tea, and preserved in sugar as gulkand."
131,Saffron,"Saffron () is a spice derived from the flower of Crocus sativus, commonly known as the ""saffron crocus"". The vivid crimson stigma and styles, called threads, are collected and dried for use mainly as a seasoning and colouring agent in food. Although some doubts remain on its origin, it is believed that saffron originated in Iran. However, Greece and Mesopotamia have also been suggested as the possible region of origin of this plant.  Saffron crocus slowly propagated throughout much of Eurasia and was later brought to parts of North Africa, North America, and Oceania.
Saffron's taste and iodoform-like or hay-like fragrance result from the phytochemicals picrocrocin and safranal. It also contains a carotenoid pigment, crocin, which imparts a rich golden-yellow hue to dishes and textiles. Its recorded history is attested in a 7th-century BC Assyrian botanical treatise, and has been traded and used for thousands of years. In the 21st century, Iran produces some 90% of the world total for saffron. At US$5,000 per kg or higher, saffron has long been the world's costliest spice by weight."
132,Use of saffron,"Saffron is a key seasoning, fragrance, dye, and medicine in use for over three millennia. One of the world's most expensive spices by weight, saffron consists of stigmas plucked from the vegetatively propagated and sterile Crocus sativus, known popularly as the saffron crocus. The resulting dried stigmas, also known as ""threads"", are distinguished by their bitter taste, hay-like fragrance, and slight metallic notes. The saffron crocus is unknown in the wild; its most likely precursor, Crocus cartwrightianus, originated in Crete or Central Asia; The saffron crocus is native to Southwest Asia and was first cultivated in what is now Greece.From ancient to modern times the history of saffron is full of applications in food, drink, and traditional herbal medicine: from Africa and Asia to Europe and the Americas the brilliant red threads have long been prized in baking, curries, and liquor. It coloured textiles and other items and often helped confer the social standing of political elites and religious adepts. Ancient and medieval peoples believed saffron could be used to treat a wide range of ailments, from stomach upsets to the plague.

""Saffron, for example, was once less regarded than it is today because the crocus from which it is extracted was not particularly mysterious. It flourished in European locations extending from Asia Minor, where it originated, to Saffron Walden in England, where it was naturalised. Only subsequently, when its labour-intensive cultivation became largely centred in Kashmir, did it seem sufficiently exotic to qualify as one of the most precious of spices.""Saffron crocus cultivation has long centered on a broad belt of Eurasia bounded by the Mediterranean Sea in the southwest to India and China in the northeast. The major producers of antiquity—Iran, Spain, India, and Greece—continue to dominate the world trade.
The cultivation of saffron in the Americas was begun by members of the Schwenkfelder Church in Pennsylvania. In recent decades cultivation has spread to New Zealand, Tasmania, and California. Iran has accounted for around 90–93 percent of recent annual world production and thereby dominates the export market on a by-quantity basis."
133,Saigon cinnamon,"Saigon cinnamon (Cinnamomum loureiroi, also known as Vietnamese cinnamon or Vietnamese cassia and quế trà my, quế thanh, or "" quế trà bồng"" in Vietnam) is an evergreen tree indigenous to mainland Southeast Asia. Saigon cinnamon is more closely related to cassia (C. cassia) than to Ceylon cinnamon (C. verum), though in the same genus as both. Saigon cinnamon has 1-5% essential oil content and 25% cinnamaldehyde in essential oil. Consequently, among the species, Saigon cinnamon commands a relatively high price.
The scientific name was originally spelled as Cinnamomum loureirii, but because the species is named after the botanist João de Loureiro, this is to be treated under the ICN as an orthographic error for the correctly derived spelling of loureiroi.Saigon cinnamon contains the second highest amount of coumarin of all the four Cinnamomum species sold as cinnamon, with one study detecting 6.97 g/kg in an authenticated sample.  Coumarin is moderately toxic to the liver and kidneys, and minor neurological dysfunction was found in children exposed to coumarin during pregnancy."
134,Sancho (spice),"The Korean spice sancho (산초, 山椒) is made from Zanthoxylum schinifolium, which is less bitter than chopi made from Zanthoxylum piperitum. In Korean cuisine, sancho is often used to accompany fish soups such as chueo-tang.


== References =="
135,Sandia pepper,"The Sandia pepper or Sandia chile pepper is a New Mexico chile pepper cultivar of the species Capsicum annuum with a scoville rating which ranges from mild to hot. This cultivar is extensively grown in New Mexico where it was developed and is popular in New Mexican cuisine. Sandia peppers picked while still green are typically roasted to produce green chile. When ripened, this variety can be dried and ground to make chile powder.  Sandia peppers grown and consumed in New Mexico are most commonly used to make red or green posole, green chile stew, and carne adovada."
136,Santa Fe Grande,"The Santa Fe Grande is a New Mexico chile pepper, also known as ""Yellow hot chili pepper"" and the ""Guero chili pepper"", is a very prolific cultivar used in the Southwestern United States. The plants are resistant to tobacco mosaic virus.The conical, blunt fruits are about 2 in (5.1 cm) long. they ripen from a pale yellow to a bright orange or fiery red.
The peppers grow upright on 24"" chile plants. Santa Fe Grande's fruit have a slightly sweet taste and are fairly mild in pungency. Fresno chile peppers are of the Santa Fe Grande group."
137,Scoville scale,"The Scoville scale is a measurement of the pungency (spiciness or ""heat"") of chili peppers, as recorded in Scoville heat units (SHU), based on the concentration of capsaicinoids, among which capsaicin is the predominant component.The scale is named after its creator, American pharmacist Wilbur Scoville, whose 1912 method is known as the Scoville organoleptic test. The Scoville organoleptic test is a subjective assessment derived from the capsaicinoid sensitivity by people experienced with eating hot chilis.An alternative method, the high-performance liquid chromatography (HPLC) can be used to analytically quantify the capsaicinoid content as an indicator of pungency. As of 2011, the subjective organoleptic test has been largely superseded by analytical methods such as HPLC."
138,Seasoning,"Seasoning is the process of supplementing food via herbs, spices, salts, and/or sugar, intended to enhance a particular flavour."
139,Sesame,"Sesame ( or ; Sesamum indicum) is a flowering plant in the genus Sesamum, also called benne. Numerous wild relatives occur in Africa and a smaller number in India. It is widely naturalized in tropical regions around the world and is cultivated for its edible seeds, which grow in pods. World production in 2018 was 6 million metric tons (5,900,000 long tons; 6,600,000 short tons), with Sudan, Myanmar, and India as the largest producers.Sesame seed is one of the oldest oilseed crops known, domesticated well over 3,000 years ago. Sesamum has many other species, most being wild and native to sub-Saharan Africa. S. indicum, the cultivated type, originated in India.  It tolerates drought conditions well, growing where other crops fail. Sesame has one of the highest oil contents of any seed. With a rich, nutty flavor, it is a common ingredient in cuisines around the world. Like other foods, it can trigger allergic reactions in some people."
140,Shan Foods,"Shan Foods (Pvt) Limited is a global producer of packaged spice mixes, primarily used in South Asian dishes. The company was established in 1981 as a single-room operation by its founder, Sikander Sultan, in Pakistan and quickly grew from there to becoming a major player in the packaged spice mixes industry.Currently, the company portfolio of products is available in over 75 countries, across 5 continents, and consists of recipe mixes, plain spices, ready-to-cook sauces, cooking pastes, dessert mixes, cooking condiments, and accompaniments as well as instant noodles."
141,Siling haba,"Siling haba (""long chili""), espada (""sword"" in Spanish), siling mahaba, siling pangsigang (""chili for sinigang""), siling Tagalog (""Tagalog chili""), and sometimes called green chili, finger chili or long pepper, is one of two kinds of chili common to the Philippines and Filipino cuisine, the other being siling labuyo. Unlike siling labuyo, it belongs to the species Capsicum annuum.The siling haba fruit grows to between 5 to 7 in (13 to 18 cm) long, and is bright light green in color.  While of moderate spiciness, it is much milder and less hot than siling labuyo.
It is an ingredient commonly used in Philippine cuisine, spicing up dishes like sinigang, dinuguan, pinangat, kilawin, paksiw, and sisig.


== References =="
142,Siling labuyo,"Siling labuyo is a small chili pepper cultivar that developed in the Philippines after the Columbian Exchange. It belongs to the species Capsicum frutescens and is characterized by triangular fruits which grow pointing upwards. The fruits and leaves are used in traditional Philippine cuisine. The fruit is pungent, ranking at 80,000 to 100,000 heat units in the Scoville Scale.The cultivar name is Tagalog, and literally translates to ""wild chili."" It is also known simply as labuyo or labuyo chili. It is also sometimes known as Filipino bird's eye, to differentiate it from the Thai bird's eye chili. Both are commonly confused with each other in the Philippines, though they are cultivars of two different species. Siling labuyo is one of two common kinds of local chili found in the Philippines, the other being siling haba (a Capsicum annuum cultivar).Siling labuyo is generally accepted as the world's smallest hot pepper, as the fruit often measure a mere 0.20 in (0.51 cm) in length by 0.10 in (0.25 cm) in widthIt is listed in the Ark of Taste international catalog of endangered heritage foods of the Philippines by the Slow Food movement."
143,Silphium,"Silphium (also known as silphion, laserwort, or laser) is an unidentified plant that was used in classical antiquity as a seasoning, perfume, aphrodisiac, and medicine. It also was used as a contraceptive by ancient Greeks and Romans. It was the essential item of trade from the ancient North African city of Cyrene, and was so critical to the Cyrenian economy that most of their coins bore a picture of the plant. The valuable product was the plant's resin (laser, laserpicium, or lasarpicium).
Silphium was an important species in classical antiquity, as evidenced by the Egyptians and Knossos Minoans developing a specific glyph to represent the silphium plant. It was used widely by most ancient Mediterranean cultures; the Romans, who mentioned the plant in poems or songs, considered it ""worth its weight in denarii"" (silver coins), or even gold.  Legend said that it was a gift from the god Apollo.
The exact identity of silphium is unclear. It was claimed to have become extinct in Roman times. It is commonly believed to be a fennel relative in the genus Ferula, perhaps a variety of giant fennel. The extant plants Margotia gummifera, Ferula tingitana, and Ferula drudeana have been suggested as other possibilities. Another theory is that it was simply a high quality variety of asafetida, a common spice in the Roman Empire. The two spices were considered the same by many Romans including the geographer Strabo. In 2021, a study from Istanbul University identified Ferula drudeana as a likely candidate for Silphium, matching both the appearance of Silphium in descriptions and the spice-like gum-resin of Silphium, though without a surviving sample no genetic analysis can be made."
144,Smilax aristolochiifolia,"Smilax aristolochiifolia, also known as gray sarsaparilla, Mexican sarsaparilla, sarsaparilla, is a species in the genus Smilax and the family Smilacaceae, native to Mexico and Central America. It is widely used as traditional medicine to treat many symptoms."
145,Smilax ornata,"Smilax ornata is a perennial trailing vine with prickly stems that is native to Mexico and Central America. Common names include sarsaparilla, Honduran sarsaparilla, and Jamaican sarsaparilla.It is known in Spanish as zarzaparrilla, which is derived from the words zarza meaning ""bramble"" (from Basque sartzia ""bramble""), and parrilla, meaning ""little grape vine""."
146,Solanum centrale,"Solanum centrale, the kutjera, or Australian desert raisin, is a plant native to the more arid parts of Australia. Like other ""bush tomatoes"", it has been used as a food source by Central Australia and Aboriginal groups for millennia.
Solanum centrale was first described by J.M. Black in 1934.Like many plants of the genus Solanum, desert raisin is a small bush and has a thorny aspect. It is a fast-growing shrub that fruits prolifically the year after fire or good rains. It can also grow back after being dormant as root stock for years after drought years. The vitamin C-rich fruit are 1–3 cm in diameter and yellow in color when fully ripe. They dry on the bush and look like raisins. These fruits have a strong, pungent taste of tamarillo and caramel that makes them popular for use in sauces and condiments. They can be obtained either whole or ground, with the ground product (sold as ""kutjera powder"") easily added to bread mixes, salads, sauces, cheese dishes, chutneys, stews or mixed into butter.
Martu people would skewer bush tomatoes and dry them so the food was readily transportable."
147,Solo garlic,"Solo garlic, also known as single clove garlic, monobulb garlic, single bulb garlic, or pearl garlic, is a type of Allium sativum (garlic). The size of the single clove differs from approximately 25 to 50 mm in diameter. It has the flavour of the garlic clove but is somewhat milder and slightly perfumed. The appearance is somewhat akin to that of a pickling onion, with white skin and often purple stripes. Solo garlic offers the advantage, compared to traditional garlic, of being very quick and easy to peel.
Single clove garlic has been grown at the foothills of the Himalayan Mountains for about 7,000 years. It is not a single variety of garlic, but rather a product of specific planting practices. As a result, single cloved versions of other garlic species such as Allium nigrum and Allium ampeloprasum are also available."
148,Spice trade,"The spice trade involved historical civilizations in Asia, Northeast Africa and Europe.  Spices such as cinnamon, cassia, cardamom, ginger, pepper, nutmeg, star anise, clove, and turmeric were known and used in antiquity and traded in the Eastern World.  These spices found their way into the Near East before the beginning of the Christian era, with fantastic tales hiding their true sources.The maritime aspect of the trade was dominated by the Austronesian peoples in Southeast Asia, namely the ancient Indonesian sailors who established routes from Southeast Asia to Sri Lanka and India (and later China) by 1500 BC. These goods were then transported by land towards the Mediterranean and the Greco-Roman world via the incense route and the Roman–India routes by Indian and Persian traders. The Austronesian maritime trade lanes later expanded into the Middle East and eastern Africa by the 1st millennium AD, resulting in the Austronesian colonization of Madagascar.
Within specific regions, the Kingdom of Axum (5th century BC–AD 11th century) had pioneered the Red Sea route before the 1st century AD. During the first millennium AD, Ethiopians became the maritime trading power of the Red Sea. By this period, trade routes existed from Sri Lanka (the Roman Taprobane) and India, which had acquired maritime technology from early Austronesian contact. By mid-7th century AD, after the rise of Islam, Arab traders started plying these maritime routes and dominated the western Indian Ocean maritime routes.Arab traders eventually took over conveying goods via the Levant and Venetian merchants to Europe until the rise of the Seljuk Turks in 1090. Later the Ottoman Turks held the route again by 1453 respectively. Overland routes helped the spice trade initially, but maritime trade routes led to tremendous growth in commercial activities to Europe.The trade was changed by the Crusades and later the European Age of Discovery, during which the spice trade, particularly in black pepper, became an influential activity for European traders. From the 11th to the 15th centuries, the Italian maritime republics of Venice and Genoa monopolized the trade between Europe and Asia. The Cape Route from Europe to the Indian Ocean via the Cape of Good Hope was pioneered by the Portuguese explorer navigator Vasco da Gama in 1498, resulting in new maritime routes for trade.This trade, which drove world trade from the end of the Middle Ages well into the Renaissance, ushered in an age of European domination in the East.  Channels such as the Bay of Bengal served as bridges for cultural and commercial exchanges between diverse cultures as nations struggled to gain control of the trade along the many spice routes. In 1571 the Spanish opened the first trans-Pacific route between its territories of the Philippines and Mexico, served by the Manila Galleon. This trade route lasted until 1815. The Portuguese trade routes were mainly restricted and limited by the use of ancient routes, ports, and nations that were difficult to dominate. The Dutch were later able to bypass many of these problems by pioneering a direct ocean route from the Cape of Good Hope to the Sunda Strait in Indonesia."
149,The Spice Trail,"The Spice Trail is a British television documentary series first broadcast on BBC Two in 2011 looking at the discovery and history of spices. Presented by Kate Humble, she travels around the world to see how spices are made and investigates their history. She also tells stories and interviews the people from the areas of their origin. The series looks at how local economies are built upon the income from the spices and the threats to these economies such as disease, globalisation and fakes."
150,Spiced wine,"Spiced wine may refer to:

Conditum, a family of spiced wines in ancient Roman and Byzantine cuisine
Hippocras, a drink made from wine mixed with sugar and spices, usually including cinnamon, and possibly heated
Mulled wine, a beverage usually made with red wine along with various mulling spices and raisins, served hot or warm"
151,Spikenard,"Spikenard, also called nard, nardin, and muskroot, is a class of aromatic amber-colored essential oil derived from Nardostachys jatamansi, a flowering plant in the honeysuckle family which grows in the Himalayas of Nepal, China, and India. The oil has been used over centuries as a perfume, a traditional medicine, or in religious ceremonies across a wide territory from India to Europe. Historically, the name nard has also referred to essential oils derived from other species including the closely related valerian genus, as well as Spanish lavender; these cheaper, more common plants have been used in perfume-making, and sometimes to adulterate true spikenard."
152,Sumac,"Sumac ( or ), also spelled sumach, is any of about 35 species of flowering plants in the genus Rhus and related genera in the cashew family (Anacardiaceae). Sumacs grow in subtropical and temperate regions throughout the world, including East Asia, Africa, and North America. Sumac is used as a spice, as a dye, and in medicine."
153,Syzygium anisatum,"Should not be confused with Clausena anisata, a small tree native to Southeast Asia and Australia.Syzygium anisatum, with common names ringwood and aniseed tree, is a rare Australian rainforest tree with an aromatic leaf that has an essential oil profile comparable to true aniseed.
The leaf from cultivated plantations is used as a bushfood spice and distilled for the essential oil, and is known in the trade as aniseed myrtle or anise myrtle.
The ringwood tree has a dense crown and grows up to 45 metres tall. The leaves are 6–12 cm long with prominently undulate margins and rich aniseed aroma when crushed.
Flowers are white and sweetly scented, borne in panicles. The fruit are dry papery capsules around 5 mm long and are white in appearance.
Ringwood's natural distribution in the wild is restricted to the Nambucca and Bellinger Valleys in the subtropics of New South Wales, Australia."
154,Tagetes patula,"Tagetes patula, the French marigold, is a species of flowering plant in the family Asteraceae, native to Mexico and Guatemala with several naturalised populations in many other countries. It is widely cultivated as an easily grown bedding plant, with thousands of different cultivars in brilliant shades of yellow and orange.
Some authorities regard Tagetes patula as a synonym of Tagetes erecta, the Mexican marigold."
155,Tamarind,"Tamarind (Tamarindus indica) is a leguminous tree bearing edible fruit that is probably indigenous to tropical Africa. The genus Tamarindus is monotypic, meaning that it contains only this species. It belongs to the family Fabaceae.
The tamarind tree produces brown, pod-like fruits that contain a sweet, tangy pulp, which is used in cuisines around the world. The pulp is also used in traditional medicine and as a metal polish. The tree's wood can be used for woodworking and tamarind seed oil can be extracted from the seeds. Tamarind's tender young leaves are used in Indian and Filipino cuisine. Because tamarind has multiple uses, it is cultivated around the world in tropical and subtropical zones."
156,Tasmannia lanceolata,"Tasmannia lanceolata (syn. Drimys lanceolata), commonly known as Tasmanian pepperberry or mountain pepper, is a shrub native to woodlands and cool temperate rainforest of south-eastern Australia. The shrub varies from 2 to 10 m high. The aromatic leaves are lanceolate to narrow-elliptic or oblanceolate, 4–12 cm long, and 0.7–2.0 cm wide, with a distinctly pale undersurface. Stems are quite red in colour. The small cream or white flowers appear in summer and are followed by black, globose, two-lobed berries 5–8 mm wide, which appear in autumn. There are separate male and female plants.Originally described by French botanist Jean Louis Marie Poiret, it gained its current name in 1969 by A.C. Smith. It had been known for many years as Drimys lanceolata.
It is found in Tasmania and northwards through Victoria to Barrington Tops in New South Wales. It is found in gullies in rainforests."
